_id,_x,_y
10250,1012931.4787155795,3766291.5932949577
10251,1015105.6506654978,3769207.680393711
10252,1014999.0006336625,3769346.2762177163
10253,1006297.6986167771,3763802.7058639606
10254,1014821.9081546662,3765779.429284348
10255,1019856.6110062379,3771013.321383919
10256,1010774.7950085631,3764705.839185262
10257,1010717.6245563462,3764784.1865204303
10258,1013950.549587759,3775058.64344806
10259,1013946.9253434294,3774861.1610303833
1026,1019656.6014893199,3761731.48812589
10260,1013938.3013514491,3774757.2197345477
10261,1015600.8565636354,3770456.7357123103
10262,1015522.5025677588,3770450.480635008
10263,1015438.2410035566,3770442.9126864234
10264,1015277.5728938135,3770433.0532469708
10265,1026220.5899004712,3771191.7155788713
10266,1026345.8080305048,3771202.3295819834
10267,1022095.2979851702,3762674.110576958
10268,1017222.6296362863,3775799.09280581
10269,1017206.9868030265,3775769.91503064
1027,1019687.8362353484,3761695.052107655
10270,1012587.4006837311,3768400.638119791
10271,1019212.9930186897,3775384.9750040253
10272,1018742.3426621989,3775227.0763250776
10273,1012037.2297520193,3770062.6473341854
10274,1012030.0505710526,3770308.5722375684
10275,1012030.4027208496,3770587.1772938273
10276,1012004.4439333277,3770671.047320819
10277,1016544.6565826777,3772479.881328444
10278,1016886.4440891843,3772730.079223586
10279,1011523.3902961239,3776178.051955661
1028,1019694.399776618,3761688.7381739994
10280,1008584.1923379664,3766834.147152897
10281,1010347.1353120238,3770784.286871177
10282,1010472.1737533582,3770508.7272125045
10283,1020514.2162775612,3767541.3430432617
10284,1008577.2482554598,3762791.021222949
10285,1008353.8091438792,3762616.185886664
10286,1024653.2855919567,3763884.413869789
10287,1024554.1863389426,3763879.38545521
10288,1022652.3150923445,3772148.441565505
10289,1016538.3617932927,3762273.411175876
1029,1019713.3930433802,3761665.2237090836
10290,1016600.3636951162,3762276.2764091026
10291,1016925.0186149259,3762291.2956473297
10292,1016970.7848726739,3762294.7042401037
10293,1017320.9826012646,3762313.2130178697
10294,1025338.1132429199,3766669.768384558
10295,1025349.7490231876,3766609.408733044
10296,1023866.6270987848,3768718.749420142
