"longtitue.x","latitude.x","longtitue.y","latitude.y","Count"
-117.3280645,34.0032736,-117.298327,33.946599,4
-117.3355729,34.0084108,-117.313174,33.960619,9
-117.3280645,34.0032736,-117.50298,33.893499,1
-117.331293,34.0050935,-117.50298,33.893499,2
-117.3585508,33.9756386,-117.313174,33.960619,37
-117.3498786,33.9848154,-117.298327,33.946599,14
-117.3585508,33.9756386,-117.298327,33.946599,44
-117.3585508,33.9756386,-117.50298,33.893499,3
-117.3498786,33.9848154,-117.313174,33.960619,19
-117.3562939,33.988853,-117.298327,33.946599,10
-117.3562939,33.988853,-117.50298,33.893499,2
-117.3562939,33.988853,-117.313174,33.960619,6
-117.4073172,33.9244578,-117.298327,33.946599,36
-117.4322703,33.9161936,-117.298327,33.946599,9
-117.4073172,33.9244578,-117.313174,33.960619,38
-117.4322703,33.9161936,-117.313174,33.960619,13
-117.4100801,33.9213416,-117.298327,33.946599,12
-117.4322703,33.9161936,-117.50298,33.893499,2
-117.4073172,33.9244578,-117.50298,33.893499,6
-117.4100801,33.9213416,-117.313174,33.960619,10
-117.29651,33.916688,-117.298327,33.946599,57
-117.29651,33.916688,-117.50298,33.893499,11
-117.29651,33.916688,-117.313174,33.960619,46
-117.383387,34.011999,-117.313174,33.960619,53
-117.383387,34.011999,-117.298327,33.946599,50
-117.383387,34.011999,-117.50298,33.893499,8
-117.4015496,33.9318101,-117.298327,33.946599,9
-117.416779,33.9238116,-117.298327,33.946599,4
-117.4148284,33.9277051,-117.298327,33.946599,27
-117.3972551,33.9386479,-117.298327,33.946599,5
-117.416779,33.9238116,-117.313174,33.960619,6
-117.3972551,33.9386479,-117.313174,33.960619,7
-117.4010883,33.9375273,-117.298327,33.946599,5
-117.4148284,33.9277051,-117.313174,33.960619,29
-117.4010883,33.9375273,-117.313174,33.960619,5
-117.4148284,33.9277051,-117.50298,33.893499,3
-117.4015496,33.9318101,-117.313174,33.960619,9
-117.286847,33.931422,-117.298327,33.946599,43
-117.286847,33.931422,-117.313174,33.960619,59
-117.286847,33.931422,-117.50298,33.893499,7
-117.4348214,33.9193208,-117.50298,33.893499,1
-117.4348214,33.9193208,-117.298327,33.946599,17
-117.4295031,33.9346664,-117.298327,33.946599,6
-117.4388856,33.9293312,-117.298327,33.946599,9
-117.4365581,33.9306479,-117.298327,33.946599,12
-117.4372747,33.9328116,-117.298327,33.946599,7
-117.4365581,33.9306479,-117.313174,33.960619,16
-117.4295031,33.9346664,-117.313174,33.960619,6
-117.4348214,33.9193208,-117.313174,33.960619,12
-117.4388856,33.9293312,-117.313174,33.960619,9
-117.4372747,33.9328116,-117.313174,33.960619,5
-117.4323564,33.9628655,-117.298327,33.946599,16
-117.4383795,33.9636176,-117.313174,33.960619,4
-117.4458246,33.9626688,-117.298327,33.946599,7
-117.4406904,33.9634366,-117.298327,33.946599,6
-117.4394135,33.9636632,-117.313174,33.960619,5
-117.4406904,33.9634366,-117.313174,33.960619,7
-117.4458246,33.9626688,-117.313174,33.960619,3
-117.4323564,33.9628655,-117.313174,33.960619,16
-117.4394135,33.9636632,-117.298327,33.946599,6
-117.4383795,33.9636176,-117.50298,33.893499,1
-117.4583244,33.959617,-117.298327,33.946599,3
-117.4583244,33.959617,-117.313174,33.960619,2
-117.4323564,33.9628655,-117.50298,33.893499,2
-117.4372185,33.9659294,-117.298327,33.946599,6
-117.302896,33.949556,-117.298327,33.946599,44
-117.302896,33.949556,-117.313174,33.960619,51
