"x_start","y_start","x_end","y_end","Count"
-117.393505,34.005081,-117.313174,33.960619,4
-117.393505,34.005081,-117.3280645,34.0032736,1
-117.393505,34.005081,-117.285819,33.931397,1
-117.393505,34.005081,-117.3936474,33.9415309,1
-117.344088,34.013247,-117.298327,33.946599,1
-117.344088,34.013247,-117.394269,34.005202,1
-117.344088,34.013247,-117.313174,33.960619,1
-117.284814,33.913075,-117.50298,33.893499,1
-117.466508,33.967175,-117.313174,33.960619,1
-117.466508,33.967175,-117.3754942,33.9806005,1
-117.306906,33.887547,-117.313174,33.960619,1
-117.306906,33.887547,-117.274329,33.94171,1
-117.407558,33.885913,-117.50298,33.893499,1
-117.2976349,33.9311768,-117.3644108,34.0100698,1
-117.36297,34.023906,-117.298327,33.946599,1
-117.3717381,33.9997227,-117.274329,33.94171,1
-117.3661764,33.9943164,-117.274329,33.94171,1
-117.3661764,33.9943164,-117.339906,34.01894,1
-117.352886,33.883505,-117.313174,33.960619,1
-117.3585508,33.9756386,-117.302164,33.887499,1
-117.4073172,33.9244578,-117.339906,34.01894,1
-117.4100801,33.9213416,-117.28752,33.916393,1
-117.29651,33.916688,-117.298327,33.946599,1
-117.286847,33.931422,-117.407558,33.885913,1
-117.4694322,33.905076,-117.3444352,33.9031301,1
-117.3831963,33.9536707,-117.394269,34.005202,1
-117.437558,33.9151042,-117.3485704,33.9729069,1
-117.4523699,33.9079045,-117.50298,33.893499,1
-117.347818,34.0080201,-117.352886,33.883505,1
-117.347818,34.0080201,-117.274329,33.94171,1
-117.3494077,33.9733083,-117.313174,33.960619,1
-117.3903187,33.9706014,-117.301849,33.947768,1
-117.527692,33.953536,-117.298327,33.946599,1
-117.4671557,33.8954758,-117.274329,33.94171,1
-117.3090985,33.8967491,-117.298327,33.946599,1
