,schools_name,schools_enrollment,schools_adress,schools_adress_url,Latitude,Longitude
33,Collett Elementary School,578,"10850 Collett Avenue, Riverside, CA 92505",https://www.greatschools.org/california/riverside/4204-Collett-Elementary-School/#Neighborhood,33.9134996,-117.4788059
34,La Sierra High School,"1,723","4145 La Sierra Avenue, Riverside, CA 92505",https://www.greatschools.org/california/riverside/4207-La-Sierra-High-School/#Neighborhood,33.9087172,-117.4791028
35,Loma Vista Middle School,992,"11050 Arlington Avenue, Riverside, CA 92505",https://www.greatschools.org/california/riverside/4208-Loma-Vista-Middle-School/#Neighborhood,33.944465,-117.4993146
36,Myra Linn Elementary School,526,"10435 Branigan Way, Riverside, CA 92505",https://www.greatschools.org/california/riverside/4210-Myra-Linn-Elementary-School/#Neighborhood,33.9194878,-117.4729819
37,Norte Vista High School,"2,123","6585 Crest Avenue, Riverside, CA 92503",https://www.greatschools.org/california/riverside/4211-Norte-Vista-High-School/#Neighborhood,33.9494254,-117.4747252
38,Terrace Elementary School,687,"6601 Rutland Street, Riverside, CA 92503",https://www.greatschools.org/california/riverside/4214-Terrace-Elementary-School/#Neighborhood,33.9501094,-117.467958
39,Twinhill Elementary School,459,"11000 Campbell Avenue, Riverside, CA 92505",https://www.greatschools.org/california/riverside/4215-Twinhill-Elementary-School/#Neighborhood,33.9316781,-117.4933281
40,Adams Elementary School,539,"8362 Colorado Avenue, Riverside, CA 92504",https://www.greatschools.org/california/riverside/4447-Adams-Elementary-School/#Neighborhood,33.944893,-117.4351611
41,Emerson Elementary School,740,"4660 Ottawa Avenue, Riverside, CA 92507",https://www.greatschools.org/california/riverside/4455-Emerson-Elementary-School/#Neighborhood,33.9657726,-117.3517318
42,Fremont Elementary School,552,"1925 Orange Street, Riverside, CA 92501",https://www.greatschools.org/california/riverside/4457-Fremont-Elementary-School/#Neighborhood,33.9980802,-117.3632756
43,Matthew Gage Middle School,"1,014","6400 Lincoln Avenue, Riverside, CA 92506",https://www.greatschools.org/california/riverside/4458-Matthew-Gage-Middle-School/#Neighborhood,33.9390429,-117.3790449
44,Jackson Elementary School,740,"4585 Jackson Street, Riverside, CA 92503",https://www.greatschools.org/california/riverside/4465-Jackson-Elementary-School/#Neighborhood,33.93685,-117.4485268
45,Jefferson Elementary School,993,"4285 Jefferson Street, Riverside, CA 92504",https://www.greatschools.org/california/riverside/4466-Jefferson-Elementary-School/#Neighborhood,33.9454886,-117.4231717
46,Liberty Elementary School,725,"9631 Hayes Street, Riverside, CA 92503",https://www.greatschools.org/california/riverside/4467-Liberty-Elementary-School/#Neighborhood,33.9210103,-117.4505916
47,Monroe Elementary School,646,"8535 Garfield Avenue, Riverside, CA 92504",https://www.greatschools.org/california/riverside/4472-Monroe-Elementary-School/#Neighborhood,33.9344889,-117.4314529
48,Mountain View Elementary School,833,"6180 Streeter Avenue, Riverside, CA 92504",https://www.greatschools.org/california/riverside/4473-Mountain-View-Elementary-School/#Neighborhood,33.960019,-117.4173135
49,Sierra Middle School,871,"4950 Central Avenue, Riverside, CA 92504",https://www.greatschools.org/california/riverside/4481-Sierra-Middle-School/#Neighborhood,33.9525643,-117.4116439
50,William Howard Taft Elementary School,657,"959 Mission Grove Parkway North, Riverside, CA 92506",https://www.greatschools.org/california/riverside/4482-William-Howard-Taft-Elementary-School/#Neighborhood,33.9277041,-117.3329203
51,Victoria Elementary School,575,"2910 Arlington Avenue, Riverside, CA 92506",https://www.greatschools.org/california/riverside/4484-Victoria-Elementary-School/#Neighborhood,33.9452208,-117.37536
52,Washington Elementary School,876,"2760 Jane Street, Riverside, CA 92506",https://www.greatschools.org/california/riverside/4485-Washington-Elementary-School/#Neighborhood,33.935093,-117.3830841
53,Phillip M. Stokoe Elementary School,699,"4501 Ambs Drive, Riverside, CA 92505",https://www.greatschools.org/california/riverside/17623-Phillip-M.-Stokoe-Elementary-School/#Neighborhood,33.9057679,-117.4994293
54,Arlanza Elementary School,523,"5891 Rutland Avenue, Riverside, CA 92503",https://www.greatschools.org/california/riverside/4203-Arlanza-Elementary-School/#Neighborhood,33.9415008,-117.468348
55,Foothill Elementary School,565,"8230 Wells Avenue, Riverside, CA 92503",https://www.greatschools.org/california/riverside/4205-Foothill-Elementary-School/#Neighborhood,33.9344055,-117.462666
56,Allan Orrenmaa Elementary School,557,"3350 Fillmore Street, Riverside, CA 92503",https://www.greatschools.org/california/riverside/4212-Allan-Orrenmaa-Elementary-School/#Neighborhood,33.8924506,-117.4776385
57,Valley View Elementary School,571,"11750 Gramercy Place, Riverside, CA 92505",https://www.greatschools.org/california/riverside/4216-Valley-View-Elementary-School/#Neighborhood,33.9220853,-117.5061495
58,Wells Middle School,899,"10000 Wells Avenue, Riverside, CA 92503",https://www.greatschools.org/california/riverside/4217-Wells-Middle-School/#Neighborhood,33.9325248,-117.4691739
59,Chemawa Middle School,951,"8830 Magnolia Avenue, Riverside, CA 92503",https://www.greatschools.org/california/riverside/4453-Chemawa-Middle-School/#Neighborhood,33.9265137,-117.4335678
60,University Heights Middle School,850,"1155 Massachusetts Avenue, Riverside, CA 92507",https://www.greatschools.org/california/riverside/4483-University-Heights-Middle-School/#Neighborhood,33.988157,-117.3363063
61,Summit View Independent Study School,253,"6401 Lincoln Avenue, Riverside, CA 92506",https://www.greatschools.org/california/riverside/11059-Summit-View-Independent-Study-School/#Neighborhood,33.9411683,-117.3793351
62,California School For The Deaf-Riverside,348,"3044 Horace Street, Riverside, CA 92506",https://www.greatschools.org/california/riverside/12331-California-School-For-The-Deaf-Riverside/#Neighborhood,33.9456545,-117.3819283
63,Riverside County Special Education School,602,"3939 13th Street, Riverside, CA 92502",https://www.greatschools.org/california/riverside/12333-Riverside-County-Special-Education-School/#Neighborhood,33.9789061,-117.3804219
64,Alvord Alternative Education Center,163,"10368 Campbell Avenue, Riverside, CA 92505",https://www.greatschools.org/california/riverside/27049-Alvord-Alternative-Education-Center/#Neighborhood,33.9358336,-117.4812628
65,Come Back Kids,581,"3939 13th Street, Riverside, CA 92501",https://www.greatschools.org/california/riverside/31158-Come-Back-Kids/#Neighborhood,33.9789061,-117.3804219
66,Gateway College And Career Academy,172,"4800 Magnolia Avenue, Riverside, CA 92506",https://www.greatschools.org/california/riverside/31183-Gateway-College-And-Career-Academy/#Neighborhood,33.9714889,-117.3808994
67,La Granada Elementary School,626,"10346 Keller Avenue, Riverside, CA 92505",https://www.greatschools.org/california/riverside/4206-La-Granada-Elementary-School/#Neighborhood,33.9334618,-117.4789919
68,Central Middle School,684,"4795 Magnolia Avenue, Riverside, CA 92506",https://www.greatschools.org/california/riverside/4452-Central-Middle-School/#Neighborhood,33.9718228,-117.3851037
69,Highland Elementary School,704,"700 Highlander Drive, Riverside, CA 92507",https://www.greatschools.org/california/riverside/4463-Highland-Elementary-School/#Neighborhood,33.9859308,-117.327742
70,Alvord Continuation High School,168,"3606 Pierce Street, Riverside, CA 92503",https://www.greatschools.org/california/riverside/4201-Alvord-Continuation-High-School/#Neighborhood,33.8909997,-117.4897223
71,Riverside County Community School,307,"3939 13th Street, Riverside, CA 92501",https://www.greatschools.org/california/riverside/14098-Riverside-County-Community-School/#Neighborhood,33.9789061,-117.3804219
72,Opportunity Program School,42,"6401 Lincoln Avenue, Riverside, CA 92506",https://www.greatschools.org/california/riverside/14219-Opportunity-Program-School/#Neighborhood,33.9411683,-117.3793351
73,Alvord Adult Education,0,"3606 Pierce Street, Riverside, CA 92503",https://www.greatschools.org/california/riverside/14444-Alvord-Adult-Education/#Neighborhood,33.8909997,-117.4897223
74,Riverside Adult,0,"6735 Magnolia Avenue, Riverside, CA 92506",https://www.greatschools.org/california/riverside/14541-Riverside-Adult/#Neighborhood,33.9512741,-117.3987354
75,Riverside County Rop School,?,"3939 13th Street, Riverside, CA 92502",https://www.greatschools.org/california/riverside/14983-Riverside-County-Rop-School/#Neighborhood,33.9789061,-117.3804219
76,St. Thomas The Apostle School,186,"9136 Magnolia Avenue, Riverside, CA 92503",https://www.greatschools.org/california/riverside/15087-St.-Thomas-The-Apostle-School/#Neighborhood,33.9239986,-117.4396522
77,Life Christian Academy,?,"3270 Rubidoux Boulevard, Riverside, CA 92509",https://www.greatschools.org/california/riverside/15249-Life-Christian-Academy/#Neighborhood,34.0017589,-117.4022694
78,Kindercare Learning Center,27,"7897 Mission Grove Parkway South, Riverside, CA 92508",https://www.greatschools.org/california/riverside/15432-Kindercare-Learning-Center/#Neighborhood,33.9085976,-117.3281634
79,Bethel Christian Schools,263,"2425 Van Buren Boulevard, Riverside, CA 92503",https://www.greatschools.org/california/riverside/16336-Bethel-Christian-Schools/#Neighborhood,33.9013608,-117.4291166
80,Cottonwood Montessori School,60,"4302 Pedley Road, Riverside, CA 92509",https://www.greatschools.org/california/riverside/16344-Cottonwood-Montessori-School/#Neighborhood,34.0099592,-117.474944
81,Mira Loma Christian School,10,"4752 Felspar Street, Riverside, CA 92509",https://www.greatschools.org/california/riverside/16360-Mira-Loma-Christian-School/#Neighborhood,34.0019599,-117.4836714
82,Mount Zion Academy,?,"6664 Barkdale Lane, Riverside, CA 92509",https://www.greatschools.org/california/riverside/16366-Mount-Zion-Academy/#Neighborhood,34.0298288,-117.4148215
83,Riverside Preparatory Academy,?,"9152 Owari Lane, Riverside, CA 92508",https://www.greatschools.org/california/riverside/16377-Riverside-Preparatory-Academy/#Neighborhood,33.8854896,-117.3262939
84,Somerset Academy,?,"14705 Riverside Drive, Riverside, CA 92518",https://www.greatschools.org/california/riverside/16380-Somerset-Academy/#Neighborhood,33.9091899,-117.252419
85,St. Joseph's,?,"17355 Mc Allister Street, Riverside, CA 92503",https://www.greatschools.org/california/riverside/16381-St.-Josephs/#Neighborhood,33.8678589,-117.4392578
86,Vineyard Christian,?,"533 Massachusetts Avenue, Riverside, CA 92507",https://www.greatschools.org/california/riverside/16386-Vineyard-Christian/#Neighborhood,33.9869455,-117.3232901
87,Islamic Academy of Riverside,?,"1038 W Linden St, Riverside, CA 92507",https://www.greatschools.org/california/riverside/21611-Islamic-Academy-Of-Riverside/#Neighborhood,33.9785334,-117.3341451
88,Lovetts Children Inc,?,"10744 Hole Avenue, Riverside, CA 92505",https://www.greatschools.org/california/riverside/21613-Lovetts-Children-Inc/#Neighborhood,33.91754,-117.4796753
89,Sierra Pre-School,?,"11077 Whitford Avenue, Riverside, CA 92505",https://www.greatschools.org/california/riverside/21614-Sierra-Pre-School/#Neighborhood,33.918188,-117.4869855
